trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s1-b169117bd391,1,expected_sarsa,recoverable,0.85,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b169117bd391,1,expected_sarsa,recoverable,0.85,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b169117bd391,1,expected_sarsa,recoverable,0.85,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-b183f37472c4,1,expected_sarsa,recoverable,0.845,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-b183f37472c4,1,expected_sarsa,recoverable,0.845,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-b183f37472c4,1,expected_sarsa,recoverable,0.845,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b183f37472c4,1,expected_sarsa,recoverable,0.845,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b45fbd851b9d,1,expected_sarsa,recoverable,0.8,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-b45fbd851b9d,1,expected_sarsa,recoverable,0.8,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b45fbd851b9d,1,expected_sarsa,recoverable,0.8,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-b45fbd851b9d,1,expected_sarsa,recoverable,0.8,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-c3e5168b6c54,1,expected_sarsa,recoverable,0.78,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-c3e5168b6c54,1,expected_sarsa,recoverable,0.78,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-c3e5168b6c54,1,expected_sarsa,recoverable,0.78,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-c3e5168b6c54,1,expected_sarsa,recoverable,0.78,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-c402c0afb210,1,expected_sarsa,recoverable,0.81,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-c402c0afb210,1,expected_sarsa,recoverable,0.81,0.5,50000,50000,0,shelter,2,0
