trial_id,agent,seed,hazard_mode,reliability,evaluation_policy_mode,episode_return,success,failure,truncation,truncated_episodes,evaluation_episodes,total_episode_steps,hazard_penalty_steps,realized_corridor,penalty_steps_per_1000
lethal_risky_corridor-expected_sarsa-s10-f8f0821c5afd,expected_sarsa,10,lethal,0.984,behavior,7.1816,1,0,0,0,25,341,0,0.08,0
lethal_risky_corridor-expected_sarsa-s10-f8f0821c5afd,expected_sarsa,10,lethal,0.984,greedy,7.2656,1,0,0,0,25,306,0,0,0
lethal_risky_corridor-expected_sarsa-s11-0732ee9531b4,expected_sarsa,11,lethal,0.97,behavior,7.1768,1,0,0,0,25,343,0,0.08,0
lethal_risky_corridor-expected_sarsa-s11-0732ee9531b4,expected_sarsa,11,lethal,0.97,greedy,7.2464,1,0,0,0,25,314,0,0.08,0
lethal_risky_corridor-expected_sarsa-s11-0edeeef402bf,expected_sarsa,11,lethal,0.986,behavior,7.2008,1,0,0,0,25,333,0,0,0
lethal_risky_corridor-expected_sarsa-s11-0edeeef402bf,expected_sarsa,11,lethal,0.986,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s11-0eebc0cac798,expected_sarsa,11,lethal,0.988,behavior,7.2008,1,0,0,0,25,333,0,0,0
lethal_risky_corridor-expected_sarsa-s11-0eebc0cac798,expected_sarsa,11,lethal,0.988,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s11-177dd6e8dbe0,expected_sarsa,11,lethal,0.992,behavior,7.1984,1,0,0,0,25,334,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-177dd6e8dbe0,expected_sarsa,11,lethal,0.992,greedy,7.2656,1,0,0,0,25,306,0,0.04,0
lethal_risky_corridor-expected_sarsa-s11-281eb19fd0ca,expected_sarsa,11,lethal,0.984,behavior,7.2008,1,0,0,0,25,333,0,0,0
lethal_risky_corridor-expected_sarsa-s11-281eb19fd0ca,expected_sarsa,11,lethal,0.984,greedy,7.2704,1,0,0,0,25,304,0,0,0
lethal_risky_corridor-expected_sarsa-s11-453e932685c8,expected_sarsa,11,lethal,0.9895,behavior,7.2008,1,0,0,0,25,333,0,0,0
lethal_risky_corridor-expected_sarsa-s11-453e932685c8,expected_sarsa,11,lethal,0.9895,greedy,7.268,1,0,0,0,25,305,0,0,0
lethal_risky_corridor-expected_sarsa-s11-46b06e925f2e,expected_sarsa,11,lethal,0.998,behavior,7.2056,1,0,0,0,25,331,0,0,0
